year,season_week,region,sales_channel,category,product,package_type,diet_label,unit_price_usd,calories_kcal,sugar_g,spice_index,discount_rate,units_sold,demand_segment,date_str,date
2025.0,12.0,west,online,food,pumpkin soup,cup,low-sugar,6.03,202.1,6.0,3.6,19.3,31.0,medium,2025-W12-1,2025-03-24
2023.0,1.0,central,cafe,nan,mulled wine,can,regular,7.53,168.1,17.1,5.6,5.1,4.0,low,2023-W01-1,2023-01-02
2025.0,6.0,south,wholesale,food,gingerbread,cup,regular,4.72,386.9,24.6,5.2,19.3,61.0,high,2025-W06-1,2025-02-10
2024.0,6.0,east,convenience,beverage,mulled wine,bowl,low-sugar,8.11,157.9,13.2,6.4,9.5,5.0,low,2024-W06-1,2024-02-12
2022.0,11.0,west,online,beverage,hot chocolate,box,gluten-free,4.28,235.0,28.6,0.3,23.1,82.0,high,2022-W11-1,2022-03-14
2025.0,2.0,east,online,beverage,sahlep,bottle,regular,5.4,233.9,25.5,3.1,14.4,21.0,low,2025-W02-1,2025-01-13
2025.0,6.0,west,wholesale,beverage,sahlep,cup,dairy-free,4.66,248.5,21.8,1.2,19.6,80.0,high,2025-W06-1,2025-02-10
2025.0,2.0,east,wholesale,beverage,ginger tea,bottle,regular,3.07,61.4,1.9,4.5,19.0,68.0,high,2025-W02-1,2025-01-13
2022.0,11.0,north,supermarket,beverage,chai tea,box,regular,3.73,154.9,15.5,6.1,18.1,66.0,high,2022-W11-1,2022-03-14
2023.0,9.0,west,cafe,food,roasted chestnuts,bowl,regular,6.99,363.7,5.8,2.7,9.4,18.0,low,2023-W09-1,2023-02-27
2023.0,7.0,north,supermarket,beverage,spiced latte,cup,gluten-free,4.6,235.0,18.8,6.0,14.0,53.0,high,2023-W07-1,2023-02-13
2025.0,6.0,north,supermarket,beverage,spiced latte,can,regular,5.66,222.1,17.5,5.3,12.5,53.0,high,2025-W06-1,2025-02-10
2024.0,2.0,west,online,beverage,espresso,can,regular,2.28,5.0,0.7,1.4,14.8,37.61405295315682,high,2024-W02-1,2024-01-15
2025.0,12.0,west,online,beverage,hot chocolate,cup,vegan,4.7,214.1,24.9,0.7,19.7,42.0,high,2025-W12-1,2025-03-24
2023.0,9.0,central,online,beverage,hot chocolate,cup,regular,3.96,260.6,29.9,2.1,17.2,77.0,high,2023-W09-1,2023-02-27
2022.0,5.0,south,convenience,beverage,herbal tea,bag,regular,2.32,11.2,0.0,0.6,9.9,29.0,medium,2022-W05-1,2022-01-31
2024.0,6.0,north,online,beverage,mulled wine,cup,vegan,7.13,229.2,20.1,5.4,15.3,15.0,low,2024-W06-1,2024-02-12
2022.0,10.0,central,online,food,roasted chestnuts,cup,regular,4.61,333.4,11.9,1.3,20.0,50.0,high,2022-W10-1,2022-03-07
2024.0,6.0,north,online,beverage,ginger tea,bowl,regular,3.0,32.2,8.8,6.1,16.6,87.0,high,2024-W06-1,2024-02-12
2025.0,4.0,south,online,beverage,hot chocolate,bottle,dairy-free,4.89,254.4,25.6,0.6,14.8,23.0,low,2025-W04-1,2025-01-27
2023.0,9.0,east,supermarket,beverage,sahlep,cup,regular,4.06,310.5,26.6,2.6,12.8,52.0,high,2023-W09-1,2023-02-27
2025.0,9.0,central,supermarket,food,creamy porridge,bottle,regular,5.26,291.6,9.8,0.8,15.8,31.0,medium,2025-W09-1,2025-03-03
2025.0,8.0,west,cafe,food,baked potato,bowl,regular,8.19,401.3,0.6,2.0,8.4,9.0,low,2025-W08-1,2025-02-24
2025.0,1.0,west,convenience,beverage,chai tea,cup,regular,3.95,121.4,17.3,6.7,7.5,27.0,medium,2025-W01-1,2025-01-06
2022.0,7.0,north,online,food,gingerbread,bag,dairy-free,4.37,352.3,30.1,4.8,16.3,35.0,medium,2022-W07-1,2022-02-14
2023.0,8.0,south,convenience,food,stuffed pastry,cup,regular,6.18,482.0,5.9,2.1,10.7,7.0,low,2023-W08-1,2023-02-20
2022.0,13.0,east,convenience,food,stuffed pastry,cup,regular,6.44,466.5,3.3,1.9,10.3,12.0,low,2022-W13-1,2022-03-28
2022.0,7.0,north,convenience,beverage,ginger tea,bag,regular,1.83,35.9,4.7,5.0,10.3,23.0,low,2022-W07-1,2022-02-14
2024.0,5.0,south,cafe,beverage,spiced latte,box,regular,6.42,220.0,14.0,4.5,7.6,11.0,low,2024-W05-1,2024-02-05
2024.0,8.0,south,cafe,food,creamy porridge,bottle,regular,5.7,276.6,12.1,1.3,9.1,35.0,medium,2024-W08-1,2024-02-26
2025.0,3.0,north,cafe,food,roasted chestnuts,box,dairy-free,7.09,349.6,2.9,0.7,6.0,14.0,low,2025-W03-1,2025-01-20
2023.0,2.0,east,cafe,beverage,apple cider,can,vegan,4.58,148.9,21.5,3.8,5.8,24.0,medium,2023-W02-1,2023-01-09
2023.0,9.0,west,online,food,cinnamon cookies,bottle,regular,5.0,429.6,30.1,2.4,18.9,42.0,high,2023-W09-1,2023-02-27
2023.0,13.0,north,wholesale,beverage,spiced latte,box,regular,4.55,221.2,14.9,4.4,13.684544209762091,34.0,medium,2023-W13-1,2023-03-27
2022.0,11.0,east,supermarket,beverage,hot chocolate,box,regular,3.44,264.7,28.5,3.1,14.6,43.0,high,2022-W11-1,2022-03-14
2022.0,8.0,west,convenience,food,stuffed pastry,cup,regular,5.24,468.1,5.3,2.3,13.0,18.0,low,2022-W08-1,2022-02-21
2023.0,1.0,west,supermarket,beverage,espresso,bowl,regular,1.84,5.0,2.0,0.9,10.3,33.0,medium,2023-W01-1,2023-01-02
2022.0,13.0,west,online,food,lentil soup,bottle,regular,4.59,261.0,1.2,4.1,22.2,40.0,medium,2022-W13-1,2022-03-28
2024.0,6.0,east,supermarket,food,roasted chestnuts,cup,vegan,5.42,333.4,5.0,0.5,11.7,23.0,low,2024-W06-1,2024-02-12
2023.0,4.0,central,supermarket,beverage,hot chocolate,bag,low-sugar,3.76,202.2,10.1,1.7,12.2,62.0,high,2023-W04-1,2023-01-23
2025.0,12.0,south,supermarket,beverage,hot chocolate,can,regular,3.5,242.7,23.2,1.8,16.8,57.0,high,2025-W12-1,2025-03-24
2024.0,10.0,south,supermarket,beverage,matcha latte,nan,low-sugar,6.05,159.1,11.7,1.1,13.8,30.0,medium,2024-W10-1,2024-03-11
2023.0,10.0,north,online,food,cinnamon cookies,bowl,regular,4.82,395.8,36.6,2.9,16.7,49.0,high,2023-W10-1,2023-03-06
2025.0,4.0,east,supermarket,food,roasted chestnuts,bowl,regular,6.67,352.1,7.2,0.8,10.6,24.0,medium,2025-W04-1,2025-01-27
2025.0,13.0,south,supermarket,beverage,herbal tea,cup,low-sugar,4.831910592802493,5.0,0.0,0.8,14.8,51.0,high,2025-W13-1,2025-03-31
2023.0,6.0,south,wholesale,beverage,matcha latte,bag,regular,4.0,172.7,13.3,1.6,21.3,60.0,high,2023-W06-1,2023-02-06
2023.0,7.0,west,online,beverage,herbal tea,bowl,regular,2.1,5.0,2.9,3.1,13.684544209762091,32.0,medium,2023-W07-1,2023-02-13
2024.0,10.0,south,supermarket,foood,stuffed pastry,bowl,vegan,7.07,478.1,4.6,1.5,14.8,26.0,medium,2024-W10-1,2024-03-11
2022.0,9.0,south,supermarket,beverage,herbal tea,can,regular,1.49,9.3,1.5,0.0,12.1,87.0,high,2022-W09-1,2022-02-28
2022.0,3.0,north,supermarket,beverage,hot chocolate,cup,low-sugar,4.45,222.2,15.4,0.9,11.3,59.0,high,2022-W03-1,2022-01-17
2022.0,4.0,east,supermarket,beverage,apple cider,cup,regular,3.44,152.1,20.7,4.3,11.1,30.0,medium,2022-W04-1,2022-01-24
2025.0,5.0,south,cafe,food,pumpkin soup,bottle,gluten-free,8.01,228.3,7.7,4.4,7.2,9.0,low,2025-W05-1,2025-02-03
2024.0,13.0,south,wholesale,beverage,apple cider,cup,regular,4.23,184.3,22.6,3.3,23.0,24.0,medium,2024-W13-1,2024-04-01
2024.0,10.0,south,supermarket,food,beef stew,bowl,regular,4.943781855249744,531.7,0.9,4.1,12.8,12.0,low,2024-W10-1,2024-03-11
2025.0,5.0,west,cafe,beverage,chai tea,box,regular,5.26,152.4,15.0,7.0,6.8,18.0,low,2025-W05-1,2025-02-03
2023.0,10.0,central,online,beverage,chai tea,cup,low-sugar,3.59,139.7,6.7,6.4,17.2,38.0,medium,2023-W10-1,2023-03-06
2024.0,10.0,east,online,beverage,chai tea,bottle,regular,3.62,115.2,14.3,6.3,16.6,56.0,high,2024-W10-1,2024-03-11
2022.0,6.0,west,supermarket,beverage,hot chocolate,bowl,low-sugar,3.94,205.0,18.4,2.1,13.8,71.0,high,2022-W06-1,2022-02-07
2022.0,6.0,central,online,beverage,chai tea,cup,regular,4.1,136.3,13.6,7.1,16.4,38.0,medium,2022-W06-1,2022-02-07
2024.0,12.0,central,cafe,beverage,matcha latte,bag,regular,6.39,166.9,16.0,2.3,6.5,19.0,low,2024-W12-1,2024-03-25
2023.0,8.0,west,cafe,beverage,ginger tea,bottle,regular,3.34,15.8,2.1,5.0,7.9,63.0,high,2023-W08-1,2023-02-20
2024.0,2.0,central,cafe,beverage,herbal tea,cup,regular,2.53,5.0,0.0,0.9,6.2,50.0,high,2024-W02-1,2024-01-15
2025.0,10.0,central,supermarket,food,creamy porridge,cup,dairy-free,5.35,273.4,9.3,2.8,13.4,54.0,high,2025-W10-1,2025-03-10
2024.0,8.0,west,cafe,beverage,ginger tea,bag,regular,2.55,30.4,10.2,5.7,10.5,51.0,high,2024-W08-1,2024-02-26
2024.0,7.0,east,supermarket,beverage,apple cider,cup,vegan,3.77,154.0,16.6,4.4,12.3,46.0,high,2024-W07-1,2024-02-19
2024.0,10.0,north,online,beverage,chai tea,bowl,regular,3.98,125.7,13.8,6.9,19.4,49.0,high,2024-W10-1,2024-03-11
2023.0,12.0,north,online,beverage,hot chocolate,cup,regular,4.71,241.4,31.2,2.2,21.5,46.0,high,2023-W12-1,2023-03-20
2022.0,5.0,east,cafe,beverage,spiced latte,cup,regular,6.09,202.2,16.3,4.9,7.7,17.0,low,2022-W05-1,2022-01-31
2023.0,6.0,east,wholesale,food,gingerbread,box,low-sugar,4.3,378.4,16.0,6.2,19.5,59.0,high,2023-W06-1,2023-02-06
2022.0,3.0,east,online,beverage,herbal tea,cup,vegan,2.17,6.8,1.7,1.5,14.9,70.0,high,2022-W03-1,2022-01-17
2023.0,9.0,east,supermarket,food,baked potato,cup,regular,4.76,422.5,4.4,2.5,15.8,50.0,h1gh,2023-W09-1,2023-02-27
2025.0,6.0,east,cafe,food,lentil soup,can,regular,6.49,263.7,7.4,3.5,7.0,18.0,low,2025-W06-1,2025-02-10
2022.0,5.0,central,convenience,food,roasted chestnuts,box,regular,5.25,314.8,8.0,1.5,10.1,36.0,medium,2022-W05-1,2022-01-31
2022.0,10.0,north,supermarket,food,baked potato,cup,nan,5.22,408.4,6.9,2.3,14.0,25.0,medium,2022-W10-1,2022-03-07
2023.0,6.0,south,cafe,food,lentil soup,cup,regular,6.18,237.8,3.2,3.8,7.9,13.0,low,2023-W06-1,2023-02-06
2023.0,7.0,west,cafe,beverage,espresso,bag,regular,2.51,5.0,0.0,3.1,6.7,64.0,high,2023-W07-1,2023-02-13
2024.0,6.0,central,convenience,nan,pumpkin soup,bowl,vegan,7.12,200.0,8.1,2.4,9.2,11.0,low,2024-W06-1,2024-02-12
2024.0,4.0,central,online,beverage,mulled wine,box,dairy-free,6.75,189.3,12.2,6.7,15.3,14.0,low,2024-W04-1,2024-01-29
2025.0,2.0,central,wholesale,food,pumpkin soup,box,dairy-free,6.01,187.0,9.3,2.9,19.0,12.0,low,2025-W02-1,2025-01-13
2024.0,11.0,centrall,online,beverage,apple cider,bowl,gluten-free,4.54,160.3,20.7,3.9,19.2,25.0,medium,2024-W11-1,2024-03-18
2023.0,2.0,south,convenience,beverage,chai tea,bottle,regular,4.25,150.3,12.5,8.3,8.1,13.0,low,2023-W02-1,2023-01-09
2025.0,5.0,east,online,food,baked potato,cup,vegan,6.8,414.0,4.9,1.6,15.9,18.0,low,2025-W05-1,2025-02-03
