 year ,Season_week,REGION,salesChannel,Category ,ProdUct,Package-Type,diet label,unitPrice_usd,Calories(kcal),sugar_g ,Spice Index,DiscountRate ,Units Sold,DemandSEGMENT 
2025,12,West,Online,Food,Pumpkin Soup,Cup,Low-Sugar,6.03,202.1,6.0,3.6,19.3%,31,Medium
2023,1,Central,Cafe,NA,Mulled Wine,Can,Regular,7.53,168.1,17.1,5.6,5.1%,4,Low
2025,6,South,Wholesale,Food,Gingerbread,Cup,Regular,4.72,386.9,24.6,5.2,19.3%,61,High
2024,6,East,Convenience,Beverage,mulled wine,Bowl,Low-Sugar,8.11,157.9,13.2,6.4,9.5%,5,Low
2022,11,West,Online,Beverage,Hot Chocolate,Box,Gluten-Free,4.28,235.0,28.6,0.3,23.1%,82, High
2025,2,East,Online,Beverage,Sahlep,Bottle,Regular,5.4,233.9,25.5,3.1,14.4%,21,Low
2025,6,West,Wholesale,Beverage,*Sahlep,Cup,Dairy-Free,4.66,248.5,21.8,1.2,19.6%,80,High
2025,2,East,Wholesale,Beverage,Ginger Tea,Bottle,Regular,3.07,61.4,1.9,4.5,19.0%,68,High
2022,11,North,Supermarket,Beverage,Chai Tea,box,Regular,3.73,154.9,15.5,6.1,18.1%,66,High
2023,9,West,Cafe,Food,Roasted Chestnuts,Bowl,Regular,6.99,363.7,5.8,2.7,9.4%,18,Low
2023,7,North,Supermarket,Beverage,Spiced Latte,Cup,Gluten-Free,4.6,235.0,18.8,6.0,14.0%,53,High
2025,6,North,Supermarket,Beverage,Spiced Latte,Can,Regular,5.66,222.1,17.5,5.3,12.5%,53,High
2024,2,West,Online,Beverage,Espresso,Can,REGULAR,2.28,5.0,0.7,1.4,14.8%,119,High
2025,12,West,Online,Beverage,Hot Chocolate,cup,Vegan,4.7,214.1,24.9,0.7,19.7%,42,High
2023,9,Central,Online,Beverage,Hot Chocolate,Cup,Regular,3.96,260.6,29.9,2.1,17.2%,77,High
2022,5,South,Convenience,Beverage,Herbal Tea,Bag,Regular,2.32,11.2,0.0,0.6,9.9%,29,Medium
2024,6,North,Online,Beverage,Mulled Wine,Cup,Vegan,7.13,229.2,20.1,5.4,15.3%,15,Low
2022,10,Central,Online,Food,Roasted Chestnuts,Cup,Regular,4.61,333.4,11.9,1.3,20.0%,50,High
2025,NA,North,Supermarket,Beverage,Chai Tea,Cup,Regular,4.3,175.5,17.6,6.2,14.7%,52,High
2024,6,North,Online,Beverage,Ginger Tea,Bowl,Regular,3.0,32.2,8.8,6.1,16.6%,87,High
2025,4,South,Online,Beverage,Hot Chocolate,Bottle,Dairy-Free,4.89,254.4,25.6,0.6,14.8%,23,Low
2023,9,East,Supermarket,Beverage,Sahlep,Cup,Regular,4.06,310.5,26.6,2.6,12.8%,52,High
2025,9,Central,Supermarket,Food,Creamy Porridge,Bottle,Regular,5.26,291.6,9.8,0.8,15.8%,31,Medium
2025,8,West,Cafe,Food,Baked Potato,Bowl,Regular,8.19,401.3,0.6,2.0,8.4%,9,Low
2025,1,West,Convenience,Beverage,Chai Tea,Cup,Regular,3.95,121.4,17.3,6.7,7.5%,27,Medium
2022,7,North ,Online,Food,Gingerbread,Bag,Dairy-Free,4.37,352.3,30.1,4.8,16.3%,35,Medium
2023,8,South,Convenience,Food,Stuffed Pastry,Cup,Regular,6.18,482.0,5.9,2.1,10.7%,7,Low
2022,13,East,Convenience,Food,Stuffed Pastry,Cup,Regular,6.44,466.5,3.3,1.9,10.3%,12,Low
2022,7,North,Convenience,Beverage,Ginger Tea,Bag,Regular,1.83,35.9,4.7,5.0,10.3%,23,Low
2024,5,South,Cafe,Beverage,Spiced Latte,Box ,Regular,6.42,220.0,14.0,4.5,7.6%,11,Low
2024,8,South,Cafe,Food,Creamy Porridge,Bottle,Regular,5.7,276.6,12.1,1.3,9.1%,35,Medium
2025,3,North,Cafe,Food,Roasted Chestnuts,Box, Dairy-Free,7.09,349.6,2.9,0.7,6.0%,14,Low
2023,2,East,Cafe,Beverage,Apple Cider,Can,Vegan,4.58,148.9,21.5,3.8,5.8%,24,Medium
2023,9,West,Online,Food,Cinnamon Cookies,Bottle,Regular,5.0,429.6,30.1,2.4,18.9%,42,High
2023,13,North,Wholesale,Beverage,Spiced Latte,Box,Regular,4.55,221.2,14.9,4.4,NA,34,Medium 
2022,11,East,Supermarket,Beverage,Hot Chocolate,Box,Regular,3.44,264.7,28.5,3.1,14.6%,43,High
2022,8,West,Convenience,Food,Stuffed Pastry,Cup,Regular,5.24,468.1,5.3,2.3,13.0%,18,Low
2023,1,West,Supermarket,Beverage,Espresso,Bowl*,Regular,1.84,5.0,2.0,0.9,10.3%,33,Medium
2022,13,West,Online,Food,Lentil Soup,Bottle,Regular,4.59,261.0,1.2,4.1,22.2%,40,Medium
2024,6,East,Supermarket,Food,Roasted Chestnuts,Cup,Vegan,5.42,333.4,5.0,0.5,11.7%,23,Low
2023,4,Central,Supermarket,Beverage, Hot Chocolate,Bag,Low-Sugar,3.76,202.2,10.1,1.7,12.2%,62,High
2025,12,South,Supermarket,Beverage,Hot Chocolate,Can,Regular,3.5,242.7,23.2,1.8,16.8%,57,High
2024,10,South,Supermarket,Beverage,Matcha Latte,NA,Low-Sugar,6.05,159.1,11.7,1.1,13.8%,30,Medium
